simulation,dem_seats,dem_control,national_error
7694,54.0,1,7.06845230822096
7695,50.0,0,-1.43493815389952
7696,54.0,1,3.294325457063393
7697,50.0,0,-1.1406327410802
7698,50.0,0,-2.041991245989885
7699,50.0,0,-1.5726540531198419
7700,50.0,0,-2.8773960048768306
7701,51.0,1,1.5894634329657715
7702,49.0,0,-1.9379425280956293
7703,49.0,0,-1.9998305386154154
7704,51.0,1,-1.377316142571307
7705,50.0,0,-0.2783389060830985
7706,51.0,1,3.0599998626645792
7707,54.0,1,5.281741075279693
7708,50.0,0,0.6418820785094298
7709,50.0,0,-0.05094995496193975
7710,52.0,1,0.11848085529380308
7711,52.0,1,0.38002940308825994
7712,53.0,1,1.4762148943844133
7713,49.0,0,-5.078736507912042
7714,52.0,1,-0.5276141507792851
7715,54.0,1,5.904616878787241
7716,53.0,1,2.57718461171732
7717,54.0,1,5.896302404672978
7718,50.0,0,-2.368626251756141
7719,51.0,1,-1.3368105848755287
7720,52.0,1,2.9459853059816403
7721,53.0,1,2.2159603292298895
7722,48.0,0,-3.9607823063225385
7723,55.0,1,7.788691451854316
7724,49.0,0,-4.479682571326468
7725,53.0,1,5.1202506760519
7726,52.0,1,0.3196677795023187
7727,52.0,1,3.4197290707525374
7728,48.0,0,-7.042538461320603
7729,48.0,0,-5.278181182387502
7730,52.0,1,1.71728965130493
7731,54.0,1,8.214952961897591
7732,50.0,0,0.7841692741216338
7733,51.0,1,-1.3650966957431983
7734,50.0,0,-3.6616641773719394
7735,55.0,1,8.632461902987274
7736,52.0,1,3.5553919598601165
7737,49.0,0,-2.2009790008374126
7738,53.0,1,4.706866798287168
7739,54.0,1,4.853706637960013
7740,49.0,0,-3.507361171506087
7741,51.0,1,1.8742968266980797
7742,50.0,0,1.2723008025332967
7743,50.0,0,-1.1901593333525475
7744,47.0,0,-7.196531190680977
7745,52.0,1,-2.035604073179874
7746,54.0,1,3.0868849485825582
7747,51.0,1,0.49140775022877276
7748,54.0,1,6.047060210414729
7749,50.0,0,-1.0298001571119155
7750,54.0,1,4.2613715486000325
7751,53.0,1,1.963408546595827
7752,52.0,1,3.722944218314365
7753,54.0,1,4.688869212750287
7754,52.0,1,0.6397455532270125
7755,54.0,1,4.744910750467301
7756,52.0,1,5.1253113806402615
7757,54.0,1,5.52024182308794
7758,52.0,1,0.7765617015673137
7759,51.0,1,0.7987507520005238
7760,54.0,1,5.092587103866403
7761,51.0,1,-0.806859340231015
7762,49.0,0,-0.8103901796292241
7763,54.0,1,7.241539274126975
7764,49.0,0,-2.57427922044347
7765,56.0,1,7.717092577320153
7766,49.0,0,-3.044451129369547
7767,52.0,1,0.45005185029868783
7768,49.0,0,-3.403578027445118
7769,52.0,1,3.028435239124776
7770,52.0,1,3.300987694963326
7771,54.0,1,3.5194881243072493
7772,54.0,1,7.504914057722643
7773,51.0,1,1.0855449245140014
7774,51.0,1,-1.1125291018684944
7775,51.0,1,0.07025260532187814
7776,51.0,1,-2.7900314011532834
7777,51.0,1,-2.6342522414740985
7778,48.0,0,-4.165595301767273
7779,53.0,1,0.37603898803830393
7780,54.0,1,1.8959704393954868
7781,54.0,1,2.6199185462887353
7782,55.0,1,4.180993301378376
7783,51.0,1,1.4966898460619071
7784,49.0,0,-6.126091435161303
