global_sd,races,brier,log_loss,expected_calibration_error,root_mean_squared_calibration_error,maximum_calibration_error,coverage_50,coverage_error_50,absolute_coverage_error_50,coverage_80,coverage_error_80,absolute_coverage_error_80,coverage_95,coverage_error_95,absolute_coverage_error_95,mean_absolute_coverage_error,maximum_absolute_coverage_error,rank_brier,rank_log_loss,rank_expected_calibration_error,rank_mean_absolute_coverage_error,average_rank,pareto_optimal,recommended
17.5,234,0.08717187643035935,0.30524114565677957,0.10010583832685654,0.11917039477149241,0.21665534405791353,0.8162393162393162,0.3162393162393162,0.3162393162393162,0.9487179487179487,0.14871794871794863,0.14871794871794863,0.9700854700854701,0.020085470085470125,0.020085470085470125,0.16168091168091167,0.3162393162393162,51.0,43.0,51.0,48.0,48.25,False,False
17.75,234,0.08770841739884701,0.30711158930842763,0.10244548765117216,0.11977984965017499,0.20789713446904573,0.8205128205128205,0.3205128205128205,0.3205128205128205,0.9487179487179487,0.14871794871794863,0.14871794871794863,0.9700854700854701,0.020085470085470125,0.020085470085470125,0.16310541310541307,0.3205128205128205,52.0,44.0,52.0,49.0,49.25,False,False
18.0,234,0.08824886161621705,0.3089905994516279,0.10476235434129468,0.11968058040196107,0.21022745572603763,0.8290598290598291,0.3290598290598291,0.3290598290598291,0.9529914529914529,0.1529914529914529,0.1529914529914529,0.9743589743589743,0.024358974358974383,0.024358974358974383,0.1688034188034188,0.3290598290598291,53.0,45.0,53.0,50.0,50.25,False,False
18.25,234,0.08879291551215632,0.310876572815832,0.10705641910999147,0.12183960897648591,0.22148713270562928,0.8290598290598291,0.3290598290598291,0.3290598290598291,0.9529914529914529,0.1529914529914529,0.1529914529914529,0.9743589743589743,0.024358974358974383,0.024358974358974383,0.1688034188034188,0.3290598290598291,54.0,46.0,54.0,50.0,51.0,False,False
18.5,234,0.0893402977869536,0.3127680181599687,0.10932767899612846,0.12404273174861896,0.22372845899756963,0.8333333333333334,0.33333333333333337,0.33333333333333337,0.9529914529914529,0.1529914529914529,0.1529914529914529,0.9743589743589743,0.024358974358974383,0.024358974358974383,0.17022792022792022,0.33333333333333337,55.0,48.0,55.0,52.0,52.5,False,False
18.75,234,0.08989073891537668,0.3146635484054733,0.11157614655831312,0.12514051949211097,0.22591642839311424,0.8333333333333334,0.33333333333333337,0.33333333333333337,0.9529914529914529,0.1529914529914529,0.1529914529914529,0.9743589743589743,0.024358974358974383,0.024358974358974383,0.17022792022792022,0.33333333333333337,56.0,49.0,56.0,52.0,53.25,False,False
19.0,234,0.09044398066304127,0.31656187340711556,0.11380184909227316,0.12755437139351705,0.23476484681043144,0.8376068376068376,0.33760683760683763,0.33760683760683763,0.9529914529914529,0.1529914529914529,0.1529914529914529,0.9786324786324786,0.028632478632478642,0.028632478632478642,0.17307692307692304,0.33760683760683763,57.0,50.0,57.0,55.0,54.75,False,False
19.25,234,0.09099977561697177,0.3184617932995246,0.1160048278708571,0.1304163074967331,0.2466422149981406,0.8418803418803419,0.3418803418803419,0.3418803418803419,0.9529914529914529,0.1529914529914529,0.1529914529914529,0.9786324786324786,0.028632478632478642,0.028632478632478642,0.17450142450142447,0.3418803418803419,58.0,51.0,58.0,56.0,55.75,False,False
19.5,234,0.09155788673160148,0.32036219236440117,0.11818513740583682,0.13248807262973109,0.2487469809524559,0.8461538461538461,0.34615384615384615,0.34615384615384615,0.9529914529914529,0.1529914529914529,0.1529914529914529,0.9786324786324786,0.028632478632478642,0.028632478632478642,0.1759259259259259,0.34615384615384615,59.0,53.0,59.0,57.0,57.0,False,False
19.75,234,0.0921180868910779,0.32226203336959575,0.12034284473092458,0.13476186919434224,0.25080406697903057,0.8504273504273504,0.3504273504273504,0.3504273504273504,0.9529914529914529,0.1529914529914529,0.1529914529914529,0.9829059829059829,0.0329059829059829,0.0329059829059829,0.17877492877492873,0.3504273504273504,60.0,54.0,60.0,58.0,58.0,False,False
20.0,234,0.09268015848841284,0.32416035233664453,0.1224780287056005,0.136913606810468,0.2528150007506366,0.8504273504273504,0.3504273504273504,0.3504273504273504,0.9572649572649573,0.15726495726495726,0.15726495726495726,0.9829059829059829,0.0329059829059829,0.0329059829059829,0.1801994301994302,0.3504273504273504,61.0,55.0,61.0,59.0,59.0,False,False
