snapshot_id,cycle,state,race_id,snapshot_date,days_out,actual_margin_dem,fundamentals_margin_dem,polling_margin_dem,has_polling,poll_count,pollster_count,effective_poll_count,mean_poll_age_days,production_polling_weight,production_bayesian_margin_dem,production_posterior_sd,margin_movement_dem
2022_WA_8950_20221108_D014,2022,WA,2022_WA,2022-10-25,14,14.550585979180894,18.771006369581382,7.152643099163831,True,23.0,13.0,10.129463204680697,12.303304711442468,0.6066666666666667,11.722532652194737,3.5,-7.048473717386646
2022_WI_8951_20221108_D014,2022,WI,2022_WI,2022-10-25,14,-1.0091205339674616,-0.4418734669320106,-2.4107247825688853,True,22.0,15.0,13.353115013761428,16.209631275049038,0.6066666666666667,-1.636309931751715,3.5,-1.1944364648197043
2022_AL_8917_20221108_D007,2022,AL,2022_AL,2022-11-01,7,-36.652984262818194,-26.90274966670944,-29.6,True,1.0,1.0,1.0,3.0,0.1959999999999999,-27.43141073203439,3.5,-0.5286610653249504
2022_AR_8920_20221108_D007,2022,AR,2022_AR,2022-11-01,7,-35.782880140816665,-29.504866555966306,-24.460686191285692,True,3.0,2.0,2.175269459553503,8.950506885533201,0.49,-27.033218177272808,3.5,2.471648378693498
2022_AZ_8919_20221108_D007,2022,AZ,2022_AZ,2022-11-01,7,4.992147589578039,-0.7663366417413773,4.706920049271561,True,46.0,28.0,27.5428521239043,12.453791147139592,0.6533333333333333,2.8095243963870757,3.5,3.575861038128453
2022_CA_8921_20221108_D007,2022,CA,2022_CA_REGULAR,2022-11-01,7,22.12900637700405,28.737822721335142,25.411381644517046,True,2.0,2.0,1.9576090085298905,17.735772944353695,0.3593333333333333,27.542521561065175,3.5,-1.1953011602699668
2022_CA_9480_20221108_D007,2022,CA,2022_CA_SPECIAL,2022-11-01,7,21.787140037865683,28.737822721335142,22.0,True,1.0,1.0,1.0,22.0,0.1959999999999999,27.417209467953455,3.5,-1.320613253381687
2022_CO_8922_20221108_D007,2022,CO,2022_CO,2022-11-01,7,15.047246386477951,12.796638984600303,9.225634990122048,True,17.0,13.0,10.738858026098436,15.045806577838796,0.6533333333333333,10.463583041541176,3.5,-2.3330559430591276
2022_FL_8924_20221108_D007,2022,FL,2022_FL,2022-11-01,7,-16.587594994456367,-4.469509324283111,-5.955425053636519,True,50.0,29.0,13.828952737947432,13.497180189025874,0.6533333333333333,-5.4403076007940045,3.5,-0.9707982765108936
2022_GA_8925_20221108_D007,2022,GA,2022_GA,2022-11-01,7,0.9774140180497994,-0.841340674182705,0.9590560402439876,True,60.0,34.0,23.741503866236837,13.695594097024465,0.6533333333333333,0.3349185125760675,3.5,1.1762591867587724
2022_IA_8930_20221108_D007,2022,IA,2022_IA,2022-11-01,7,-12.196840548191474,-9.44652616927411,-8.074420833618895,True,13.0,6.0,7.156255086763075,15.869188653451555,0.6533333333333333,-8.550084016646036,3.5,0.8964421526280741
2022_IL_8928_20221108_D007,2022,IL,2022_IL,2022-11-01,7,15.584397861044309,16.238087465613845,14.611017198481752,True,7.0,6.0,4.261508732949951,15.066427891534875,0.6533333333333333,15.175068224420878,3.5,-1.0630192411929666
2022_IN_8929_20221108_D007,2022,IN,2022_IN,2022-11-01,7,-21.495551038239668,-17.470096014885925,-2.254599271867042,True,2.0,2.0,1.6117515130537368,44.40177597161238,0.3593333333333333,-12.002660851894474,3.5,5.4674351629914515
2022_KS_8931_20221108_D007,2022,KS,2022_KS,2022-11-01,7,-23.66328612885694,-16.0668565112627,-20.451814270657906,True,4.0,3.0,1.409023401474,10.878594958412403,0.6533333333333333,-18.931695580734235,3.5,-2.864839069471536
2022_KY_8932_20221108_D007,2022,KY,2022_KY,2022-11-01,7,-23.619806488332387,-27.480205800525937,-16.0,True,1.0,1.0,1.0,283.0,0.1959999999999999,-25.230085463622853,3.5,2.250120336903084
2022_LA_8933_20221108_D007,2022,LA,2022_LA,2022-11-01,7,-55.0418251781291,-20.008880912582107,,False,0.0,,0.0,,0.0,-20.008880912582107,3.5,0.0
